District,Chiefdom,Name of PHU,Community,School Name,School Enrollment,EMIS Number,School Status
PORT LOKO,BAKEH LOKO,SLC clinic,EBKUST CAMPUS (BAKEH LOKO),PORT LOKO TEACHERS COLLEGE PRACTISING PRIMARY SCHOOL,435,3301-2-03229,Old
PORT LOKO,BAKEH LOKO,SLC clinic,KAMBIA ROAD (BAKEH LOKO),FORUM FOR AFRICAN WOMEN EDUCATIONIST PRIMARY SCHOOL,346,3301-2-03227,Old
PORT LOKO,BAKEH LOKO,SLC clinic,FALABA ROAD (BAKEH LOKO),ROMAN CATHOLIC PRIMARY SCHOOL GIRLS SENIOR,230,3301-2-03179,Old
PORT LOKO,BAKEH LOKO,SLC clinic,KAMBIA ROAD (BAKEH LOKO),WESLEYAN CHURCH OF SIERRA LEONE PRIMARY,471,3301-2-03230,Old
PORT LOKO,BAKEH LOKO,SLC clinic,KAMBIA ROAD (BAKEH LOKO),LOGOS EXPERIMENTAL PRIMARY SCHOOL,230,3301-2-03240,Old
PORT LOKO,BAKEH LOKO,SLC clinic,KAMBIA ROAD (BAKEH LOKO),MOVEMENT OF FAITH ISLAMIC PRIMARY SCHOOL,254,3301-2-03228,Old
PORT LOKO,BAKEH LOKO,SLC clinic,SCOT ROAD (BAKEH LOKO),SIERRA LEONE CHURCH PRIMARY SCHOOL,224,3301-2-03222,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,LUNSAR,HAJI INTERNATIONAL ACADEMY PRIMARY SCHOOL,251,3311-2-15287,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,LUNSAR,KING KAMA PRIMARY SCHOOL,263,3311-2-15278,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,LUNSAR (MARAMPA),REDEEM BAPTIST PRIMARY SCHOOL,123,3311-2-03895,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,LUNSAR (MARAMPA),NURR ISLAMIC PRIMARY SCHOOL,801,3311-2-13065,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,LUNSAR,KING KAMA MEMORIAL PRIMARY SCHOOL,253,3311-2-15288,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,MABESSENEH (MARAMPA),ROMAN CATHOLIC PRIMARY SCHOOL,774,3311-2-03881,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,MABESSENEH (MARAMPA),AGAPE PRIMARY SCHOOL,271,3311-2-03863,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,LUNSAR (MARAMPA),UNITED METHODIST CHURCH PRIMARY SCHOOL,388,3311-2-03864,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,MABESSENEH (MARAMPA),KANKAYLAY ISLAMIC PRIMARY SCHOOL,220,3311-2-03862,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,MAKOMP,MICHAEL KAMARA MEMORIAL PRIMARY SCHOOL,165,3311-2-15279,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,MALOMPOR (MARAMPA),SUSAN MANS MEMORIAL BAPTIST PRIMARY SCHOOL,295,3311-2-03873,Old
PORT LOKO,MARAMPA,ST JOHN OF GOD,ROYEAMA (MARAMPA),JOSEPH MANS BAPTIST PRIMARY SCHOOL,136,3311-2-12488,Old
PORT LOKO,KAFFU BULLOM,ST. JOHN OF GOD,GBANTY,Ahmadiyya Muslim Primary School,623,9999-9-99999,Old
PORT LOKO,KAFFU BULLOM,ST. JOHN OF GOD,TOGO /MALOKO,TRIUMPHAMT Memorial Primary School,598,9999-9-99999,Old
PORT LOKO,KOYA,Sumbuya CHP,MAKOSSEH (KOYA),CHURCH OF GOD OF PROPHECY PRIMARY SCHOOL,65,3306-2-03602,New
PORT LOKO,KOYA,Sumbuya CHP,SONGO (KOYA),CHURCH OF GOD OF PROPHECY,167,3306-2-03621,New
PORT LOKO,KOYA,Sumbuya CHP,SONGO (KOYA),ROMAN CATHOLIC PRIMARY SCHOOL,294,3306-2-03622,Old
PORT LOKO,KOYA,Sumbuya CHP,SUMBUYA (KOYA),CHURCH OF GOD OF PROPHECY PRIMARY SCHOOL,311,3306-2-03564,Old
PORT LOKO,KOYA,Sumbuya CHP,MILE 36 (KOYA),THE DAVID PRIMARY SCHOOL,282,3306-2-03578,Old
PORT LOKO,KOYA,Sumbuya CHP,MATHERIE (KOYA),KANKAYLAY PRIMARY SCHOOL MATHERIE,268,3306-2-03620,Old
PORT LOKO,KOYA,Sumbuya CHP,GBABAI (KOYA),CHURCH OF GOD PRIMARY SCHOOL,219,3306-2-03565,Old
PORT LOKO,KOYA,Sumbuya CHP,MACOMBAY (KOYA),ERNEST BAI KOROMA PRIMARY SCHOOL,298,3306-2-03624,Old
PORT LOKO,KOYA,Sumbuya CHP,ROGBORROH,NAMINEMA PRIMARY SCHOOL,92,9999-9-99999,Old
PORT LOKO,KOYA,Sumbuya CHP,MATHERIE (KOYA),NEW LIFE PRIMARY SCHOOL,49,9999-9-99999,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TARGRIN (KAFFU BULLOM),POWER ACADEMY PRIMARY SCHOOL,89,3303-2-03444,New
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TARGRIN (KAFFU BULLOM),SUNDIATA PRIMARY SCHOOL,210,3303-2-03422,New
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TARGRIN (KAFFU BULLOM),SAINT JOHN ROMAN CATHOLIC PRIMARY SCHOOL,422,3303-2-03428,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TARGRIN (KAFFU BULLOM),KANKAYLAY ISLAMIC PRIMARY SCHOOL,316,3303-2-03423,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,ROSINT TOWN (KAFFU BULLOM),CHURCH OF GOD PROPHECY PRIMARY ROSINT,310,3303-2-03418,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,ROGBOM (KAFFU BULLOM),KHODEZA PRIMARY SCHOOL ROGBOM,135,3303-2-03434,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,ROSINT,LYD' S MODERN HIGH SCHOOL,275,3303-2-13778,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,ROSINT (KAFFU BULLOM),TAMIM HASSAN MEMORIAL PRIMARY SCHOOL,135,3303-2-12467,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,YALE KALAM (KAFFU BULLOM),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,248,3303-2-03424,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,MADINA (KAFFU BULLOM),IMAM KHOMEINIE ISLAMIC PRIMARY SCHOOL,149,3303-2-03413,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TARGRIN (KAFFU BULLOM),KHULAFAI RASHIDEEN PRIMARY,193,3303-2-03421,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TADI (KAFFU BULLOM),SAINT MONICA ROMAN CATHOLIC PRIMARY SCHOOL,193,3303-2-03419,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TARGRIN (KAFFU BULLOM),AHMADIYYA MUSLIM PRIMARY SCHOOL,416,3303-2-03420,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TAGRIN/LUNGI,Christ Compassionate primary school,194,9999-9-99999,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TAGRIN/LUNGI,Queen Elizabeth Primary School,115,9999-9-99999,Old
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,TAGRIN/LUNGI,Heritage Primary School,68,9999-9-99999,New
PORT LOKO,KAFFU BULLOM,TAGRIN CHC,COOTTON TREE,Sakoma Primary School,420,9999-9-99999,New
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,SI LODGE (BAKEH LOKO),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL (BANGLA),372,3301-2-03187,New
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,LUNGI ROAD (BAKEH LOKO),ROMAN CATHOLIC PRIMARY SCHOOL,253,3301-2-03211,New
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,TANENEH - BIG WHALF (BAKEH LOKO),KHULAFAI RASHIDEEN ISLAMIC PRIMARY SCHOOL,300,3301-2-03210,Old
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,CONTEH STREET (BAKEH LOKO),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,230,3301-2-03192,Old
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,CONTEH STREET (BAKEH LOKO),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL SENIOR,155,3301-2-03188,Old
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,LAWRENCE STREET (BAKEH LOKO),JOHANNA KUTVENHOVEN MODEL PRIMARY SCHOOL,396,3301-2-03194,Old
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,UPPER FALABA (BAKEH LOKO),WISDOM CATHEDRAL ACADEMY PRIMARY SCHOOL,204,3301-2-03216,Old
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,MODU STREET (BAKEH LOKO),SANBIBI PRIMARY SCHOOL PORT LOKO,379,3301-2-03215,Old
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,SHERIFA STREET,DORIS AND DORA PRIMARY SCHOOL,341,9999-9-99999,Old
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,SENDUGU ROAD,ACKRONET PRIMARY SCHOOL,157,9999-9-99999,New
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,CAPALMAS,HAMJANET PRIMARY SCHOOL,122,9999-9-99999,New
PORT LOKO,BAKEH LOKO,Under Fives Clinic Port Loko,Queen Areana,ALUMARI PRIMARY SCHOOL,182,9999-9-99999,New
PORT LOKO,KOYA,Warima MCHP,WAREMA (KOYA),ROMAN CATHOLIC PRIMARY SCHOOL,404,3306-2-03612,New
PORT LOKO,KOYA,Warima MCHP,MAKARABAY (KOYA),MAKA MOIYATU ISLAMIC PRIMARY MAKARABAY,269,3306-2-03619,Old
PORT LOKO,KAFFU BULLOM,YONGORO CHC,ROTIFUNK (KAFFU BULLOM),THE WORD OF LIFE BILINGUAL PRIMARY SCHOOL,301,3303-2-03314,Old
PORT LOKO,KAFFU BULLOM,YONGORO CHC,YONGORO TOWN (KAFFU BULLOM),SAINT ANN ROMAN CATHOLIC PRIMARY SCHOOL,564,3303-2-03446,Old
PORT LOKO,KAFFU BULLOM,YONGORO CHC,GBAINTY BONLOR (KAFFU BULLOM),KULAIFAI RASHIDEEN ISLAMIC PRIMARY SCHOOL,202,3303-2-03452,Old
PORT LOKO,KAFFU BULLOM,YONGORO CHC,THOLMOLSO (KAFFU BULLOM),PURE LIFE PRIMARY SCHOOL,204,3303-2-03447,Old
PORT LOKO,KAFFU BULLOM,YONGORO CHC,THOLMOLSO (KAFFU BULLOM),IHSAN COMMUNITY PRIMARY SCHOOL,153,3303-2-03450,Old
PORT LOKO,KAFFU BULLOM,YONGORO CHC,ROTIFUNK (KAFFU BULLOM),SIERRA LEONE MUSLIM COMMUNITY SCHOOL LUNGI,377,3303-2-03324,Old
PORT LOKO,KAFFU BULLOM,YONGORO CHC,THOLMOSOH,Smart Kids Academy Primary School,190,9999-9-99999,Old
PORT LOKO,KAFFU BULLOM,YONGORO CHC,THOLMOSOH,Future Leaders Primary School,107,9999-9-99999,New
PORT LOKO,KAFFU BULLOM,YONGORO CHC,YONGORO,Ihsan Community Primary School,273,9999-9-99999,New
PORT LOKO,KAFFU BULLOM,YONGORO CHC,YONGORO,Alhamdulillah Primary School,142,9999-9-99999,New
PUJEHUN,BARRI,Taninahun MCHP,MANO DAKONA (BARRI),ROMAN CATHOLIC PRIMARY SCHOOL,186,9999-9-99999,Old
PUJEHUN,BARRI,Taninahun MCHP,TANINAHUN (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,331,9999-9-99999,Old
PUJEHUN,BARRI,Potoru CHC,POTORU (BARRI),NEW LIFE CHRISTIAN PRIMARY SCHOOL,93,9999-9-99999,Old
PUJEHUN,BARRI,Potoru CHC,POTORU (BARRI),ROMAN CATHOLIC PRIMARY SCHOOL,131,9999-9-99999,Old
PUJEHUN,BARRI,Potoru CHC,POTORU (BARRI),Saadia NIM primary school,514,9999-9-99999,Old
PUJEHUN,BARRI,Potoru CHC,POTORU (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,173,9999-9-99999,Old
PUJEHUN,BARRI,Bandasuma CHC,SEMBEHUN DAKONA (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,170,9999-9-99999,Old
PUJEHUN,BARRI,Tambeyama MCHP,TAMBEYAMA (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,173,9999-9-99999,Old
PUJEHUN,BARRI,Tambeyama MCHP,BEVEHUN (BARRI),HILL TOP- PRIMARY SCHOOL,121,9999-9-99999,Old
PUJEHUN,BARRI,Kundorwahun CHP,WOKOYA (BARRI),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,144,9999-9-99999,Old
PUJEHUN,BARRI,Kundorwahun CHP,KUNDOWAHUN (BARRI),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,232,9999-9-99999,Old
PUJEHUN,BARRI,Vaama CHP,SERABU (BARRI),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,278,9999-9-99999,Old
PUJEHUN,BARRI,Vaama CHP,GOMBU (BARRI),ROMAN CATHOLIC PRIMARY SCHOOL,150,9999-9-99999,Old
PUJEHUN,BARRI,Vaama CHP,KAMBAMA (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,282,9999-9-99999,Old
PUJEHUN,BARRI,Vaama CHP,NYANIAHUN (BARRI),ALKUDUS ISLAMIC PRIMARY SCHOOL,200,9999-9-99999,Old
PUJEHUN,BARRI,Vaama CHP,VAAMA (BARRI),ROMAN CATHOLIC PRIMARY SCHOOL,296,9999-9-99999,Old
PUJEHUN,BARRI,Saahun Barri MCHP,BUSSU (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,130,9999-9-99999,Old
PUJEHUN,BARRI,Saahun Barri MCHP,MAPOIMA (BARRI),NATIONAL ISALIMIC PRIMARY SCHOOL,175,9999-9-99999,Old
PUJEHUN,BARRI,Saahun Barri MCHP,SAHUN (BARRI),NATIONAL ISALIMIC PRIMARY SCHOOL,208,9999-9-99999,Old
PUJEHUN,BARRI,Waiima MCHP,WAIMA (BARRI),ROMAN CATHOLIC PRIMARY SCHOOL,203,9999-9-99999,Old
PUJEHUN,BARRI,Njaluahun CHP,NGEIYAWAMEI (BARRI),SIERRA LEONE CHURCH PRIMARY SCHOOL,178,9999-9-99999,Old
PUJEHUN,BARRI,Njaluahun CHP,NYEAMA,PDEC primary school,166,9999-9-99999,Old
PUJEHUN,BARRI,Njaluahun CHP,NJALUAHUN (BARRI),ROMAN CATHOLIC PRIMARY SCHOOL,335,9999-9-99999,Old
PUJEHUN,BARRI,Njaluahun CHP,MOALA (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,179,9999-9-99999,Old
PUJEHUN,BARRI,Njaluahun CHP,NDEDEGAHUN (BARRI),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,101,9999-9-99999,Old
PUJEHUN,BARRI,Jeoma MCHP,NJEWOMA (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,298,9999-9-99999,Old
PUJEHUN,BARRI,Jeoma MCHP,BATOMA (BARRI),NATIONAL ISLAMIC MUSLIM PRIMARY,237,9999-9-99999,Old
PUJEHUN,BARRI,Bandasuma CHC,BADASUMA (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,191,9999-9-99999,Old
PUJEHUN,BARRI,Bandasuma CHC,"KOUMA, (BARRI)",ALFATHA PRIMARY,202,9999-9-99999,Old
PUJEHUN,BARRI,Bandasuma CHC,BAMBAKOR (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,193,9999-9-99999,Old
PUJEHUN,BARRI,Bandasuma CHC,DIA (BARRI),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,252,9999-9-99999,Old
PUJEHUN,BARRI,Bandasuma CHC,NJALA BARRI (BARRI),AHMADIYYA MUSLIM PRIMARY SCHOOL,271,9999-9-99999,Old
PUJEHUN,BARRI,Konia MCHP,KONIA BARRI (BARRI),AHMADIYYA MUSLIM PRIMARY SCHOOL,239,9999-9-99999,Old
PUJEHUN,BARRI,Konia MCHP,GRIMA (BARRI),NATIONAL ISALIMIC PRIMARY SCHOOL,157,9999-9-99999,Old
PUJEHUN,GALLINESS,Fonikoh MCHP,FONIKOH (GALLINESS),SAINT STEPHEN'S ROMAN CATHOLIC PRIMARY SCHOOL,240,9999-9-99999,Old
PUJEHUN,GALLINESS,Fonikoh MCHP,FONIMA (GALLINESS),NATIONAL ISALIMIC PRIMARY SCHOOL,262,9999-9-99999,Old
PUJEHUN,GALLINESS,Fonikoh MCHP,LIANGAY (GALLINESS),NATIONAL ISALIMIC PRIMARY SCHOOL,253,9999-9-99999,Old
PUJEHUN,GALLINESS,Blama Massaquoi CHC,BLAMA MASSAQUOI (GALLINESS),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,237,9999-9-99999,Old
PUJEHUN,GALLINESS,Blama Massaquoi CHC,BLAMA MASSAQUOI (GALLINESS),SAINT GEORGE'S ROMAN CATHOLIC PRIMARY SCHOOL,211,9999-9-99999,Old
PUJEHUN,GALLINESS,Blama Massaquoi CHC,VAAHUN (GALLINESS),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,180,9999-9-99999,Old
PUJEHUN,GALLINESS,Blama Massaquoi CHC,NGONGO (GALLINESS),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,288,9999-9-99999,Old
PUJEHUN,GALLINESS,Bumpeh CHC,KONIA (GALLINESS),NATIONAL ISALIMIC PRIMARY SCHOOL,235,9999-9-99999,Old
PUJEHUN,GALLINESS,Bumpeh CHC,BUMPEH (GALLINESS),SAINT PETER'S ROMAN CATHOLIC PRIMARY SCHOOL,327,9999-9-99999,Old
PUJEHUN,GALLINESS,Bumpeh CHC,TOSSOR (GALLINESS),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,101,9999-9-99999,Old
PUJEHUN,GALLINESS,Fuyehun MCHP,FUNYEHUN (GALLINESS),AHMADIYYA MUSLIM PRIMARY SCHOOL,177,9999-9-99999,Old
PUJEHUN,GALLINESS,Kpetema MCHP,KAKAYAMA (GALLINESS),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,186,9999-9-99999,Old
PUJEHUN,GALLINESS,Kpetema MCHP,KPETEMA (GALLINESS),ANSARUL ISLAMIC PRIMARY,121,9999-9-99999,Old
PUJEHUN,GALLINESS,Saama Perri MCHP,MAMBO (GALLINESS),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,146,9999-9-99999,Old
PUJEHUN,GALLINESS,Kpowubu MCHP,SENEHUN (GALLINESS),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,133,9999-9-99999,Old
PUJEHUN,GALLINESS,Kpowubu MCHP,KOWUBU (GALLINESS),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,215,9999-9-99999,Old
PUJEHUN,GALLINESS,Kpowubu MCHP,KPOWUBU (GALLINESS),NATIONAL ISALIMIC PRIMARY SCHOOL,250,9999-9-99999,Old
PUJEHUN,GALLINESS,Kpowubu MCHP,FAYAMA (GALLINESS),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,240,9999-9-99999,Old
PUJEHUN,GALLINESS,Makorma CHP,MAKORMA (GALLINESS),SIERRA LEONE CHURCH PRIMARY SCHOOL,329,9999-9-99999,Old
PUJEHUN,GALLINESS,Bandama MCHP,BANDAMA (GALLINESS),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,110,9999-9-99999,Old
PUJEHUN,KABONDE,Pehala CHC,PAHALA (KABONDE),ROMAN CATHOLIC PRIMARY SCHOOL,290,9999-9-99999,Old
PUJEHUN,KABONDE,Pehala CHC,BELEBU (KABONDE),ISLAMIC CALL SOCIETY PRIMARY SCHOOL,125,9999-9-99999,Old
PUJEHUN,KABONDE,Pehala CHC,NIAGOREHUN (KABONDE),AHMADIYYA MUSLIM PRIMARY SCHOOL,175,9999-9-99999,Old
PUJEHUN,KABONDE,Pehala CHC,Gbamata (KABONDE),Gbamata Community Primary,80,9999-9-99999,Old
PUJEHUN,MALEN,Nianyahun Malen MCHP,NIANYAHUN (MALEN),ROMAN CATHOLIC PRIMARY SCHOOL,342,9999-9-99999,Old
PUJEHUN,MALEN,Nianyahun Malen MCHP,BASSALEH (MALEN),SIERRA LEONE MUSLIM BROTHERHOOD PRIMARY SCHOOL,153,9999-9-99999,Old
PUJEHUN,MALEN,Nianyahun Malen MCHP,KANGASA KPAKA (KPAKA),NATIONAL ISALIMIC PRIMARY SCHOOL,151,9999-9-99999,Old
PUJEHUN,MALEN,Nianyahun Malen MCHP,MOPANIE (PANGA),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,292,9999-9-99999,Old
PUJEHUN,MALEN,Nyadehun MCHP,NYANDEHUN (MALEN),ROMAN CATHOLIC PRIMARY SCHOOL,144,9999-9-99999,Old
PUJEHUN,MALEN,Nyadehun MCHP,NJAMA (MALEN),KANKALAY ISLAMIC PRIMARY SCHOOL,200,9999-9-99999,Old
PUJEHUN,MALEN,Nyadehun MCHP,LIBBY (MALEN),ACBC PRIMARY SCHOOL,165,9999-9-99999,Old
PUJEHUN,MALEN,Hongai CHP,HINAI (MALEN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,257,9999-9-99999,Old
PUJEHUN,MALEN,Hongai CHP,KORTUMAHUN (MALEN),PUJEHUN DISTRICT COUNCIL PRIMARY SCHOOL,197,9999-9-99999,Old
PUJEHUN,MALEN,Hongai CHP,DAMAWO (MALEN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,210,9999-9-99999,Old
PUJEHUN,MALEN,Hongai CHP,Bamba,R C Prinary school,0,9999-9-99999,Old
PUJEHUN,MALEN,Sengema CHP,SENGEMA (MALEN),SAINT PATRICK ROMAN CATHOLIC PRIMARY SCHOOL,150,9999-9-99999,Old
PUJEHUN,MALEN,Gardorhun MCHP,GANDORHUN (MALEN),SAINT JOSEPH ROMAN CATHOLIC PRIMARY SCHOOL,225,9999-9-99999,Old
PUJEHUN,MALEN,Gardorhun MCHP,BANALLEH (MALEN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,196,9999-9-99999,Old
PUJEHUN,MALEN,Bendu MCHP,BENDU (MALEN),UNITED METHODIST CHURCH PRIMARY SCHOOL,255,9999-9-99999,Old
PUJEHUN,MALEN,Taninahun CHP,TANINAHUN (MALEN),SAINT THERESA ROMAN CATHOLIC PRIMARY SCHOOL,242,9999-9-99999,Old
PUJEHUN,MALEN,Taninahun CHP,TANINAHUN (MALEN),NATIONAL ISALIMIC PRIMARY SCHOOL,57,9999-9-99999,Old
PUJEHUN,MALEN,Taninahun CHP,MAALEY (MALEN),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,176,9999-9-99999,Old
PUJEHUN,MALEN,Taninahun CHP,GBOYAMA (MALEN),NATIONAL ISALIMIC PRIMARY SCHOOL,259,9999-9-99999,Old
PUJEHUN,MALEN,Jao MCHP,JAO (MALEN),SAINT PATRICK'S PRIMARY SCHOOL,237,9999-9-99999,Old
PUJEHUN,MALEN,Jao MCHP,KPANGUMA (MALEN),COMMUNITY PRIMARY SCHOOL,132,9999-9-99999,Old
PUJEHUN,MALEN,Jao MCHP,FAYAMA (MALEN),ROMAN CATHOLIC PRIMARY SCHOOL,152,9999-9-99999,Old
PUJEHUN,MALEN,Sahn CHC,JUMBU (MALEN),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,190,9999-9-99999,Old
PUJEHUN,MALEN,Sahn CHC,SAHN (MALEN),NATIONAL ISLAMIC MISSION PRIMARY SCHOOL,437,9999-9-99999,Old
PUJEHUN,MALEN,Sahn CHC,SAHN MALEN (MALEN),CHRIST AMBASSADOR PRIMARY SCHOOL,98,9999-9-99999,Old
PUJEHUN,MALEN,Sahn CHC,KPOMBU (MALEN),ROMAN CATHOLIC PRIMARY SCHOOL,191,9999-9-99999,Old
PUJEHUN,MALEN,Sahn CHC,SAHN MALEN (MALEN),ROMAN CATHOLIC PRIMARY SCHOOL,488,9999-9-99999,Old
PUJEHUN,MALEN,Sahn CHC,SAHN MALEN (MALEN),ABUKKAR MADJID PRIMARY SCHOOL,236,9999-9-99999,Old
PUJEHUN,MALEN,Sahn CHC,SINJOH (MALEN),SIERRA LEONE UNITED ISLAMIC MISSION PRIMARY SCHOOL,129,9999-9-99999,Old
PUJEHUN,Malen,Sahn CHC,Sahn,Princely Generation Academy,35,9999-9-99999,Old
PUJEHUN,MALEN,Sahn CHC,KASSAY (MALEN),NATIONAL ISALIMIC PRIMARY SCHOOL,181,9999-9-99999,Old
PUJEHUN,KPAKA,Sahun Kpaka MCHP,BENDU (KPAKA),ANSARUL ISLAMIC PRIMARY SCHOOL,135,9999-9-99999,Old
PUJEHUN,KPAKA,Sahun Kpaka MCHP,SAHUN (KPAKA),SIERRA LEONE CHURCH PRIMARY SCHOOL,441,9999-9-99999,Old
PUJEHUN,KPAKA,Semabu MCHP,FAINDA (KPAKA),COMMUNITY PRIMARY SCHOOL,300,9999-9-99999,Old
PUJEHUN,KPAKA,Semabu MCHP,Semabu (KPAKA),Semabu Community Primary School,327,9999-9-99999,Old
PUJEHUN,KPAKA,Liyah MCHP,LIYAH (KPAKA),COMMUNITY PRIMARY SCHOOL,300,9999-9-99999,Old
PUJEHUN,KPAKA,Fuyehun CHP,SINJO BANAKOR (KPAKA),COMMUNITY PRIMARY SCHOOL,250,9999-9-99999,Old
PUJEHUN,KPAKA,Sumbuya Bessima CHP,SUAKO (KPAKA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,184,9999-9-99999,Old
PUJEHUN,KPAKA,Sumbuya Bessima CHP,SUMBUYA (KPAKA),ANSARUL ISLAMIC PRIMARY,284,9999-9-99999,Old
PUJEHUN,KPAKA,Sumbuya Bessima CHP,BAOMA KPAKA,NATIONAL ISLAMIC PRIMARY SCHOOL,230,9999-9-99999,Old
PUJEHUN,KPAKA,Massam CHC,Kuranko,ANSARUL ISLAMIC PRIMARY SCHOOL,249,9999-9-99999,Old
PUJEHUN,KPAKA,Massam CHC,MASSAM- KPAKA (KPAKA),ANSARUL ISLAMIC PRIMARY SCHOOL,271,9999-9-99999,Old
PUJEHUN,KPAKA,Massam CHC,MASSAM -KPAKA (KPAKA),SIERRA LEONE CHURCH PRIMARY SCHOOL,237,9999-9-99999,Old
PUJEHUN,KPAKA,Massam CHC,NIAHUN (KPAKA),DISTRICT EDUCATION COMMITTEE PRIMARY SCHOOL,192,9999-9-99999,Old
PUJEHUN,MAKPELE,Zimmi CHC,ZIMMI (MAKPELE),SIERRA LEONE CHURCH PRIMARY SCHOOL,421,9999-9-99999,Old
PUJEHUN,MAKPELE,Zimmi CHC,ZIMMI (MAKPELE),ROMAN CATHOLIC PRIMARY SCHOOL,637,9999-9-99999,Old
PUJEHUN,MAKPELE,Zimmi CHC,ZIMMI (MAKPELE),AHMADIYYA MUSLIM PRIMARY SCHOOL,407,9999-9-99999,Old
